time,distance,x_A,y_A,x_B,y_B
0.000000,0.001000,2.000000,-0.000000,2.000000,0.001000
0.005000,0.001000,2.000000,-0.000082,2.000000,0.000918
0.010000,0.001000,2.000000,-0.000272,2.000000,0.000728
0.015000,0.001000,2.000000,-0.000572,2.000000,0.000428
0.020000,0.001000,2.000000,-0.000980,2.000000,0.000020
0.025000,0.001000,1.999999,-0.001497,2.000000,-0.000497
0.030000,0.001000,1.999998,-0.002123,1.999999,-0.001123
0.035000,0.001000,1.999996,-0.002858,1.999998,-0.001858
0.040000,0.001000,1.999993,-0.003702,1.999996,-0.002702
0.045000,0.001000,1.999989,-0.004655,1.999993,-0.003655
0.050000,0.001000,1.999984,-0.005717,1.999989,-0.004717
0.055000,0.001000,1.999976,-0.006887,1.999983,-0.005887
0.060000,0.001000,1.999967,-0.008167,1.999974,-0.007167
0.065000,0.001000,1.999954,-0.009555,1.999963,-0.008555
0.070000,0.001000,1.999939,-0.011052,1.999949,-0.010052
0.075000,0.001000,1.999920,-0.012658,1.999932,-0.011658
0.080000,0.001000,1.999897,-0.014373,1.999911,-0.013373
0.085000,0.001000,1.999869,-0.016197,1.999885,-0.015197
0.090000,0.001000,1.999836,-0.018130,1.999853,-0.017130
0.095000,0.001000,1.999797,-0.020172,1.999816,-0.019172
0.100000,0.001000,1.999751,-0.022322,1.999773,-0.021322
0.105000,0.001000,1.999698,-0.024582,1.999722,-0.023582
0.110000,0.001000,1.999637,-0.026950,1.999663,-0.025950
0.115000,0.001000,1.999567,-0.029428,1.999596,-0.028428
0.120000,0.001001,1.999488,-0.032014,1.999519,-0.031014
0.125000,0.001001,1.999398,-0.034709,1.999432,-0.033709
0.130000,0.001001,1.999297,-0.037513,1.999334,-0.036513
0.135000,0.001001,1.999184,-0.040426,1.999224,-0.039426
0.140000,0.001001,1.999057,-0.043448,1.999100,-0.042448
0.145000,0.001001,1.998917,-0.046579,1.998963,-0.045579
0.150000,0.001001,1.998761,-0.049818,1.998810,-0.048818
0.155000,0.001001,1.998589,-0.053167,1.998642,-0.052167
0.160000,0.001002,1.998400,-0.056625,1.998456,-0.055625
0.165000,0.001002,1.998193,-0.060191,1.998252,-0.059191
0.170000,0.001002,1.997966,-0.063867,1.998029,-0.062866
0.175000,0.001002,1.997718,-0.067651,1.997785,-0.066651
0.180000,0.001003,1.997449,-0.071544,1.997519,-0.070544
0.185000,0.001003,1.997156,-0.075547,1.997231,-0.074546
0.190000,0.001003,1.996839,-0.079658,1.996918,-0.078658
0.195000,0.001004,1.996497,-0.083878,1.996580,-0.082878
0.200000,0.001004,1.996128,-0.088207,1.996215,-0.087207
0.205000,0.001004,1.995730,-0.092645,1.995821,-0.091645
0.210000,0.001005,1.995303,-0.097192,1.995399,-0.096192
0.215000,0.001005,1.994845,-0.101848,1.994945,-0.100848
0.220000,0.001006,1.994355,-0.106613,1.994459,-0.105613
0.225000,0.001006,1.993830,-0.111487,1.993940,-0.110487
0.230000,0.001007,1.993271,-0.116470,1.993385,-0.115470
0.235000,0.001007,1.992675,-0.121562,1.992794,-0.120562
0.240000,0.001008,1.992040,-0.126763,1.992164,-0.125763
0.245000,0.001008,1.991366,-0.132073,1.991495,-0.131073
0.250000,0.001009,1.990651,-0.137492,1.990784,-0.136492
0.255000,0.001010,1.989892,-0.143020,1.990031,-0.142020
0.260000,0.001011,1.989090,-0.148657,1.989234,-0.147657
0.265000,0.001011,1.988241,-0.154403,1.988391,-0.153403
0.270000,0.001012,1.987345,-0.160258,1.987500,-0.159258
0.275000,0.001013,1.986400,-0.166222,1.986561,-0.165222
0.280000,0.001014,1.985405,-0.172295,1.985570,-0.171295
0.285000,0.001015,1.984357,-0.178477,1.984528,-0.177476
0.290000,0.001016,1.983255,-0.184768,1.983432,-0.183767
0.295000,0.001017,1.982097,-0.191167,1.982280,-0.190167
0.300000,0.001018,1.980883,-0.197676,1.981071,-0.196676
0.305000,0.001019,1.979610,-0.204294,1.979804,-0.203294
0.310000,0.001020,1.978276,-0.211021,1.978476,-0.210021
0.315000,0.001021,1.976881,-0.217856,1.977087,-0.216856
0.320000,0.001022,1.975422,-0.224801,1.975634,-0.223801
0.325000,0.001023,1.973898,-0.231854,1.974116,-0.230854
0.330000,0.001025,1.972308,-0.239016,1.972531,-0.238016
0.335000,0.001026,1.970649,-0.246287,1.970878,-0.245287
0.340000,0.001027,1.968921,-0.253667,1.969156,-0.252667
0.345000,0.001029,1.967121,-0.261156,1.967362,-0.260156
0.350000,0.001030,1.965248,-0.268753,1.965495,-0.267753
0.355000,0.001031,1.963301,-0.276459,1.963554,-0.275459
0.360000,0.001033,1.961277,-0.284274,1.961537,-0.283274
0.365000,0.001034,1.959177,-0.292197,1.959442,-0.291197
0.370000,0.001036,1.956997,-0.300228,1.957269,-0.299229
0.375000,0.001037,1.954738,-0.308368,1.955015,-0.307369
0.380000,0.001039,1.952396,-0.316617,1.952680,-0.315617
