time,theta,omega,energy
0.000000,1.000000,0.000000,4.505037
0.050000,0.989703,-0.411636,4.505132
0.100000,0.958940,-0.818182,4.505712
0.150000,0.908113,-1.213692,4.507229
0.200000,0.837939,-1.591454,4.510203
0.250000,0.749497,-1.943768,4.515205
0.300000,0.644273,-2.261959,4.522771
0.350000,0.524207,-2.536667,4.533271
0.400000,0.391709,-2.758438,4.546763
0.450000,0.249647,-2.918585,4.562873
0.500000,0.101280,-3.010167,4.580773
0.550000,-0.049851,-3.028899,4.599288
0.600000,-0.200071,-2.973762,4.617117
0.650000,-0.345739,-2.847167,4.633094
0.700000,-0.483415,-2.654604,4.646413
0.750000,-0.609990,-2.403886,4.656725
0.800000,-0.722784,-2.104180,4.664110
0.850000,-0.819587,-1.765039,4.668957
0.900000,-0.898658,-1.395627,4.671813
0.950000,-0.958692,-1.004232,4.673249
1.000000,-0.998773,-0.598094,4.673784
1.050000,-1.018324,-0.183502,4.673862
1.100000,-1.017063,0.233912,4.673868
1.150000,-0.994985,0.648748,4.674182
1.200000,-0.952357,1.055380,4.675226
1.250000,-0.889747,1.447526,4.677498
1.300000,-0.808056,1.817935,4.681575
1.350000,-0.708579,2.158270,4.688048
1.400000,-0.593049,2.459257,4.697414
1.450000,-0.463676,2.711154,4.709917
1.500000,-0.323153,2.904527,4.725399
1.550000,-0.174613,3.031236,4.743217
1.600000,-0.021541,3.085455,4.762291
1.650000,0.132366,3.064492,4.781282
1.700000,0.283361,2.969195,4.798869
1.750000,0.427827,2.803831,4.814012
1.800000,0.562433,2.575475,4.826124
1.850000,0.684250,2.293058,4.835101
1.900000,0.790817,1.966329,4.841231
1.950000,0.880161,1.604928,4.845034
2.000000,0.950773,1.217738,4.847111
2.050000,1.001560,0.812557,4.848033
2.100000,1.031793,0.396087,4.848286
2.150000,1.041053,-0.025846,4.848281
2.200000,1.029204,-0.447894,4.848392
2.250000,0.996371,-0.864713,4.849010
2.300000,0.942961,-1.270484,4.850600
2.350000,0.869691,-1.658511,4.853714
2.400000,0.777641,-2.020971,4.858972
2.450000,0.668313,-2.348907,4.866971
2.500000,0.543674,-2.632533,4.878138
2.550000,0.406191,-2.861873,4.892558
2.600000,0.258811,-3.027690,4.909842
2.650000,0.104901,-3.122570,4.929091
2.700000,-0.051872,-3.141921,4.949014
2.750000,-0.207695,-3.084659,4.968176
2.800000,-0.358797,-2.953384,4.985302
2.850000,-0.501616,-2.753987,4.999518
2.900000,-0.632952,-2.494816,5.010463
2.950000,-0.750057,-2.185599,5.018251
3.000000,-0.850680,-1.836386,5.023331
3.050000,-0.933062,-1.456710,5.026310
3.100000,-0.995894,-1.055072,5.027809
3.150000,-1.038263,-0.638764,5.028378
3.200000,-1.059593,-0.213993,5.028470
3.250000,-1.059598,0.213790,5.028470
3.300000,-1.038257,0.639425,5.028749
3.350000,-0.995810,1.057534,5.029724
3.400000,-0.932785,1.462037,5.031906
3.450000,-0.850038,1.845784,5.035902
3.500000,-0.748813,2.200382,5.042367
3.550000,-0.630805,2.516307,5.051882
3.600000,-0.498202,2.783353,5.064781
3.650000,-0.353699,2.991433,5.080978
3.700000,-0.200473,3.131639,5.099852
3.750000,-0.042088,3.197372,5.120273
3.800000,0.117643,3.185295,5.140789
3.850000,0.274830,3.095850,5.159925
3.900000,0.425704,2.933199,5.176494
3.950000,0.566778,2.704599,5.189803
4.000000,0.694986,2.419386,5.199701
4.050000,0.807753,2.087824,5.206486
4.100000,0.903016,1.720071,5.210724
4.150000,0.979201,1.325442,5.213075
4.200000,1.035169,0.912021,5.214158
4.250000,1.070153,0.486622,5.214496
4.300000,1.083700,0.055021,5.214511
4.350000,1.075631,-0.377630,5.214569
4.400000,1.046019,-0.806287,5.215049
4.450000,0.995198,-1.225479,5.216399
4.500000,0.923799,-1.628835,5.219180
4.550000,0.832802,-2.008752,5.224048
4.600000,0.723598,-2.356303,5.231683
4.650000,0.598055,-2.661456,5.242639
4.700000,0.458556,-2.913669,5.257148
4.750000,0.308003,-3.102827,5.274948
4.800000,0.149766,-3.220405,5.295204
