time,theta,omega,energy
0.000000,1.000000,0.000000,4.505037,5.294963
0.050000,0.989703,-0.411636,4.505132,5.549035
0.100000,0.958940,-0.818182,4.505712,6.298421
0.150000,0.908113,-1.213692,4.507229,7.502345
0.200000,0.837939,-1.591454,4.510203,9.088884
0.250000,0.749497,-1.943768,4.515205,10.952144
0.300000,0.644273,-2.261959,4.522771,12.951920
0.350000,0.524207,-2.536667,4.533271,14.918747
0.400000,0.391709,-2.758438,4.546763,16.666705
0.450000,0.249647,-2.918585,4.562873,18.014333
0.500000,0.101280,-3.010167,4.580773,18.810887
0.550000,-0.049851,-3.028899,4.599288,18.962053
0.600000,-0.200071,-2.973762,4.617117,18.447776
0.650000,-0.345739,-2.847167,4.633094,17.326447
0.700000,-0.483415,-2.654604,4.646413,15.723968
0.750000,-0.609990,-2.403886,4.656725,13.811276
0.800000,-0.722784,-2.104180,4.664110,11.777251
0.850000,-0.819587,-1.765039,4.668957,9.804087
0.900000,-0.898658,-1.395627,4.671813,8.049848
0.950000,-0.958692,-1.004232,4.673249,6.639473
1.000000,-0.998773,-0.598094,4.673784,5.662790
1.050000,-1.018324,-0.183502,4.673862,5.176647
1.100000,-1.017063,0.233912,4.673868,5.208204
1.150000,-0.994985,0.648748,4.674182,5.757129
1.200000,-0.952357,1.055380,4.675226,6.795514
1.250000,-0.889747,1.447526,4.677498,8.265497
1.300000,-0.808056,1.817935,4.681575,10.075756
1.350000,-0.708579,2.158270,4.688048,12.099146
1.400000,-0.593049,2.459257,4.697414,14.174502
1.450000,-0.463676,2.711154,4.709917,16.115617
1.500000,-0.323153,2.904527,4.725399,17.729018
1.550000,-0.174613,3.031236,4.743217,18.839372
1.600000,-0.021541,3.085455,4.762291,19.317761
1.650000,0.132366,3.064492,4.781282,19.105386
1.700000,0.283361,2.969195,4.798869,18.225305
1.750000,0.427827,2.803831,4.814012,16.778190
1.800000,0.562433,2.575475,4.826124,14.923482
1.850000,0.684250,2.293058,4.835101,12.852074
1.900000,0.790817,1.966329,4.841231,10.758445
1.950000,0.880161,1.604928,4.845034,8.818657
2.000000,0.950773,1.217738,4.847111,7.177216
2.050000,1.001560,0.812557,4.848033,5.942342
2.100000,1.031793,0.396087,4.848286,5.187041
2.150000,1.041053,-0.025846,4.848281,4.952721
2.200000,1.029204,-0.447894,4.848392,5.252522
2.250000,0.996371,-0.864713,4.849010,6.072582
2.300000,0.942961,-1.270484,4.850600,7.370595
2.350000,0.869691,-1.658511,4.853714,9.072276
2.400000,0.777641,-2.020971,4.858972,11.067513
2.450000,0.668313,-2.348907,4.866971,13.209075
2.500000,0.543674,-2.632533,4.878138,15.317207
2.550000,0.406191,-2.861873,4.892558,17.192913
2.600000,0.258811,-3.027690,4.909842,18.640517
2.650000,0.104901,-3.122570,4.929091,19.496570
2.700000,-0.051872,-3.141921,4.949014,19.658483
2.750000,-0.207695,-3.084659,4.968176,19.104509
2.800000,-0.358797,-2.953384,4.985302,17.898413
2.850000,-0.501616,-2.753987,4.999518,16.177151
2.900000,-0.632952,-2.494816,5.010463,14.125700
2.950000,-0.750057,-2.185599,5.018251,11.947014
3.000000,-0.850680,-1.836386,5.023331,9.835139
3.050000,-0.933062,-1.456710,5.026310,7.956696
3.100000,-0.995894,-1.055072,5.027809,6.441955
3.150000,-1.038263,-0.638764,5.028378,5.383652
3.200000,-1.059593,-0.213993,5.028470,4.840220
3.250000,-1.059598,0.213790,5.028470,4.840089
3.300000,-1.038257,0.639425,5.028749,5.384548
3.350000,-0.995810,1.057534,5.029724,6.447844
3.400000,-0.932785,1.462037,5.031906,7.974423
3.450000,-0.850038,1.845784,5.035902,9.874474
3.500000,-0.748813,2.200382,5.042367,12.020153
