time,E_rk4,E_sym
0.000000,4.505037,4.505037
0.050000,4.505132,4.421170
0.100000,4.505712,4.343112
0.150000,4.507229,4.275970
0.200000,4.510203,4.225366
0.250000,4.515205,4.197110
0.300000,4.522771,4.196367
0.350000,4.533271,4.226401
0.400000,4.546763,4.287183
0.450000,4.562873,4.374373
0.500000,4.580773,4.479225
0.550000,4.599288,4.589724
0.600000,4.617117,4.692767
0.650000,4.633094,4.776710
0.700000,4.646413,4.833418
0.750000,4.656725,4.859214
0.800000,4.664110,4.854606
0.850000,4.668957,4.823189
0.900000,4.671813,4.770240
0.950000,4.673249,4.701528
1.000000,4.673784,4.622563
1.050000,4.673862,4.538345
1.100000,4.673868,4.453493
1.150000,4.674182,4.372588
1.200000,4.675226,4.300540
1.250000,4.677498,4.242784
1.300000,4.681575,4.205127
1.350000,4.688048,4.193116
1.400000,4.697414,4.210924
1.450000,4.709917,4.259964
1.500000,4.725399,4.337652
1.550000,4.743217,4.436896
1.600000,4.762291,4.546745
1.650000,4.781282,4.654220
1.700000,4.798869,4.746818
1.750000,4.814012,4.814851
1.800000,4.826124,4.852870
1.850000,4.835101,4.859846
1.900000,4.841231,4.838333
1.950000,4.845034,4.793110
2.000000,4.847111,4.729873
2.050000,4.848033,4.654288
2.100000,4.848286,4.571557
2.150000,4.848281,4.486414
2.200000,4.848392,4.403409
2.250000,4.849010,4.327285
2.300000,4.850600,4.263269
2.350000,4.853714,4.217070
2.400000,4.858972,4.194442
2.450000,4.866971,4.200254
2.500000,4.878138,4.237163
2.550000,4.892558,4.304260
2.600000,4.909842,4.396206
2.650000,4.929091,4.503399
2.700000,4.949014,4.613374
2.750000,4.968176,4.713133
2.800000,4.985302,4.791658
2.850000,4.999518,4.841753
2.900000,5.010463,4.860718
2.950000,5.018251,4.849852
3.000000,5.023331,4.813234
3.050000,5.026310,4.756341
3.100000,5.027809,4.684928
3.150000,5.028378,4.604403
3.200000,5.028470,4.519659
3.250000,5.028470,4.435273
3.300000,5.028749,4.355870
3.350000,5.029724,4.286470
3.400000,5.031906,4.232615
3.450000,5.035902,4.200128
3.500000,5.042367,4.194364
3.550000,5.051882,4.219015
3.600000,5.064781,4.274706
3.650000,5.080978,4.357874
3.700000,5.099852,4.460483
3.750000,5.120273,4.570947
3.800000,5.140789,4.676167
3.850000,5.159925,4.764079
3.900000,5.176494,4.825846
3.950000,5.189803,4.857011
4.000000,5.199701,4.857430
4.050000,5.206486,4.830264
4.100000,5.210724,4.780599
4.150000,5.213075,4.714185
4.200000,5.214158,4.636609
4.250000,5.214496,4.552957
4.300000,5.214511,4.467893
4.350000,5.214569,4.385975
4.400000,5.215049,4.312037
4.450000,5.216399,4.251423
4.500000,5.219180,4.209907
4.550000,5.224048,4.193146
4.600000,5.231683,4.205646
4.650000,5.242639,4.249391
4.700000,5.257148,4.322546
4.750000,5.274948,4.418782
4.800000,5.295204,4.527709
4.850000,5.316589,4.636525
4.900000,5.337532,4.732465
4.950000,5.356556,4.805224
5.000000,5.372581,4.848579
5.050000,5.385090,4.860781
5.100000,5.394114,4.843857
5.150000,5.400095,4.802306
5.200000,5.403687,4.741746
5.250000,5.405575,4.667894
5.300000,5.406371,4.586042
5.350000,5.406566,4.500989
5.400000,5.406556,4.417290
5.450000,5.406698,4.339630
5.500000,5.407381,4.273144
5.550000,5.409088,4.223472
5.600000,5.412427,4.196417
5.650000,5.418100,4.197083
5.700000,5.426808,4.228611
5.750000,5.439070,4.290783
5.800000,5.455022,4.379043
5.850000,5.474240,4.484453
5.900000,5.495700,4.594893
5.950000,5.517909,4.697270
6.000000,5.539211,4.780069
6.050000,5.558143,4.835355
6.100000,5.573730,4.859664
6.150000,5.585607,4.853683
6.200000,5.593958,4.821114
6.250000,5.599336,4.767285
6.300000,5.602456,4.697965
6.350000,5.604021,4.618641
6.400000,5.604625,4.534290
6.450000,5.604737,4.449521
6.500000,5.604731,4.368922
6.550000,5.604957,4.297426
6.600000,5.605816,4.240493
6.650000,5.607825,4.203935
6.700000,5.611635,4.193263
6.750000,5.617991,4.212552
6.800000,5.627611,4.263047
6.850000,5.640992,4.341955
6.900000,5.658186,4.441976
6.950000,5.678637,4.552013
7.000000,5.701161,4.659050
7.050000,5.724131,4.750669
7.100000,5.745818,4.817362
7.150000,5.764772,4.853896
7.200000,5.780103,4.859437
7.250000,5.791565,4.836676
7.300000,5.799460,4.790466
7.350000,5.804429,4.726516
7.400000,5.807234,4.650478
7.450000,5.808587,4.567528
7.500000,5.809074,4.482384
7.550000,5.809142,4.399595
7.600000,5.809149,4.323924
7.650000,5.809438,4.260623
7.700000,5.810423,4.215416
7.750000,5.812644,4.194042
7.800000,5.816790,4.201296
7.850000,5.823648,4.239694
7.900000,5.833962,4.308129
7.950000,5.848222,4.401047
8.000000,5.866429,4.508669
8.050000,5.887929,4.618446
8.100000,5.911419,4.717420
8.150000,5.935155,4.794721
8.200000,5.957338,4.843363
8.250000,5.976511,4.860853
8.300000,5.991830,4.848654
8.350000,6.003132,4.810943
8.400000,6.010804,4.753230
8.450000,6.015555,4.681266
8.500000,6.018186,4.600433
8.550000,6.019424,4.515603
8.600000,6.019851,4.431348
8.650000,6.019900,4.352303
8.700000,6.019915,4.283512
8.750000,6.020234,4.230541
8.800000,6.021272,4.199211
8.850000,6.023585,4.194829
8.900000,6.027893,4.220970
8.950000,6.035022,4.278084
9.000000,6.045752,4.362392
9.050000,6.060598,4.465658
9.100000,6.079552,4.576171
9.150000,6.101913,4.680823
9.200000,6.126294,4.767660
9.250000,6.150857,4.828037
9.300000,6.173720,4.857712
9.350000,6.193379,4.856728
9.400000,6.208991,4.828368
9.450000,6.220427,4.777775
9.500000,6.228128,4.710708
9.550000,6.232855,4.632732
9.600000,6.235449,4.548910
9.650000,6.236659,4.463890
9.700000,6.237073,4.382239
9.750000,6.237121,4.308809
9.800000,6.237135,4.248971
9.850000,6.237442,4.208507
9.900000,6.238449,4.193050
9.950000,6.240715,4.207016
10.000000,6.244980,4.252235
10.050000,6.252103,4.326667
10.100000,6.262919,4.423768
10.150000,6.278000,4.532989
10.200000,6.297384,4.641472
10.250000,6.320386,4.736515
10.300000,6.345584,4.807981
10.350000,6.371063,4.849861
10.400000,6.394840,4.860607
10.450000,6.415316,4.842397
10.500000,6.431585,4.799811
10.550000,6.443498,4.738492
10.600000,6.451512,4.664144
10.650000,6.456428,4.582035
10.700000,6.459127,4.496944
10.750000,6.460396,4.413423
10.800000,6.460844,4.336174
10.850000,6.460908,4.270355
10.900000,6.460912,4.221629
10.950000,6.461167,4.195786
11.000000,6.462061,4.197870
11.050000,6.464139,4.230891
11.100000,6.468139,4.294443
11.150000,6.474952,4.383752
11.200000,6.485475,4.489693
11.250000,6.500375,4.600043
11.300000,6.519801,4.701728
11.350000,6.543156,4.783365
11.400000,6.569051,4.837222
11.450000,6.595524,4.860046
11.500000,6.620473,4.852698
11.550000,6.642148,4.818991
11.600000,6.659502,4.764295
11.650000,6.672299,4.694379
11.700000,6.680964,4.614707
11.750000,6.686317,4.530234
11.800000,6.689289,4.445558
11.850000,6.690718,4.365276
11.900000,6.691254,4.294344
11.950000,6.691355,4.238248
12.000000,6.691348,4.202802
12.050000,6.691524,4.193479
12.100000,6.692238,4.214251
12.150000,6.694000,4.266195
12.200000,6.697526,4.346307
12.250000,6.703717,4.447079
12.300000,6.713535,4.557274
12.350000,6.727775,4.663844
12.400000,6.746761,4.754462
12.450000,6.770072,4.819805
12.500000,6.796440,4.854851
12.550000,6.823912,4.858964
12.600000,6.850269,4.834967
12.650000,6.873550,4.787781
12.700000,6.892485,4.723132
12.750000,6.906654,4.646652
12.800000,6.916389,4.563494
12.850000,6.922499,4.478358
12.900000,6.925958,4.395797
12.950000,6.927677,4.320591
13.000000,6.928371,4.258018
13.050000,6.928545,4.213817
13.100000,6.928540,4.193708
13.150000,6.928630,4.202409
13.200000,6.929126,4.242293
13.250000,6.930483,4.312055
13.300000,6.933364,4.405922
13.350000,6.938650,4.513944
13.400000,6.947353,4.623493
13.450000,6.960406,4.721658
13.500000,6.978362,4.797719
13.550000,7.001077,4.844902
13.600000,7.027519,4.860921
13.650000,7.055840,4.847398
13.700000,7.083739,4.808606
13.750000,7.109016,4.750087
13.800000,7.130076,4.677584
13.850000,7.146207,4.596454
13.900000,7.157548,4.511549
13.950000,7.164839,4.427434
14.000000,7.169085,4.348759
14.050000,7.171281,4.280590
14.100000,7.172241,4.228516
14.150000,7.172544,4.198356
14.200000,7.172570,4.195362
14.250000,7.172591,4.222996
14.300000,7.172872,4.281525
14.350000,7.173792,4.366954
14.400000,7.175929,4.470850
14.450000,7.180102,4.581381
14.500000,7.187329,4.685438
14.550000,7.198665,4.771181
14.600000,7.214920,4.830157
14.650000,7.236311,4.858344
14.700000,7.262179,4.855964
14.750000,7.290931,4.826421
14.800000,7.320292,4.774914
14.850000,7.347835,4.707206
14.900000,7.371566,4.628842
14.950000,7.390344,4.544859
15.000000,7.403978,4.459896
15.050000,7.413035,4.378522
15.100000,7.418505,4.305612
15.150000,7.421468,4.246562
15.200000,7.422863,4.207165
15.250000,7.423387,4.193021
15.300000,7.423499,4.208458
15.350000,7.423492,4.255146
15.400000,7.423601,4.330839
15.450000,7.424120,4.428782
15.500000,7.425512,4.538268
15.550000,7.428484,4.646388
15.600000,7.433997,4.740511
15.650000,7.443167,4.810671
15.700000,7.457035,4.851072
15.750000,7.476227,4.860368
15.800000,7.500589,4.840882
15.850000,7.528979,4.797274
15.900000,7.559342,4.735209
15.950000,7.589139,4.660377
16.000000,7.615962,4.578021
16.050000,7.638114,4.492902
16.100000,7.654886,4.409570
16.150000,7.666511,4.332743
16.200000,7.673853,4.267606
16.250000,7.678042,4.219838
16.300000,7.680160,4.195219
16.350000,7.681066,4.198727
16.400000,7.681352,4.233241
16.450000,7.681383,4.298162
16.500000,7.681393,4.388499
16.550000,7.681607,4.494944
16.600000,7.682359,4.605173
16.650000,7.684199,4.706141
16.700000,7.687952,4.786597
16.750000,7.694696,4.839017
16.800000,7.705613,4.860359
16.850000,7.721703,4.851654
16.900000,7.743393,4.816820
16.950000,7.770193,4.761271
17.000000,7.800550,4.690771
17.050000,7.832064,4.610763
17.100000,7.862041,4.526178
17.150000,7.888166,4.441604
17.200000,7.909021,4.361651
17.250000,7.924258,4.291297
17.300000,7.934418,4.236049
17.350000,7.940567,4.201728
17.400000,7.943904,4.193763
17.450000,7.945488,4.216021
17.500000,7.946108,4.269408
17.550000,7.946272,4.350707
17.600000,7.946275,4.452204
17.650000,7.946314,4.562526
17.700000,7.946611,4.668601
17.750000,7.947539,4.758198
17.800000,7.949719,4.822178
17.850000,7.954073,4.855736
17.900000,7.961772,4.858426
17.950000,7.974050,4.833205
18.000000,7.991870,4.785058
18.050000,8.015511,4.719721
18.100000,8.044218,4.642812
18.150000,8.076130,4.559456
18.200000,8.108600,4.474339
18.250000,8.138829,4.392016
18.300000,8.164578,4.317287
18.350000,8.184638,4.255455
18.400000,8.198911,4.212273
18.450000,8.208154,4.193439
18.500000,8.213562,4.203593
18.550000,8.216380,4.244961
18.600000,8.217651,4.316035
18.650000,8.218113,4.410830
18.700000,8.218218,4.519222
18.750000,8.218215,4.628514
18.800000,8.218271,4.725844
18.850000,8.218603,4.800651
18.900000,8.219603,4.846369
18.950000,8.221938,4.860921
19.000000,8.226594,4.846085
19.050000,8.234816,4.806225
19.100000,8.247895,4.746912
19.150000,8.266805,4.673882
19.200000,8.291760,4.592467
19.250000,8.321861,4.507497
19.300000,8.355056,4.423533
19.350000,8.388513,4.345238
19.400000,8.419327,4.277704
19.450000,8.445254,4.226541
19.500000,8.465175,4.197562
19.550000,8.479127,4.195966
19.600000,8.487996,4.225093
19.650000,8.493070,4.285027
19.700000,8.495639,4.371558
19.750000,8.496756,4.476057
19.800000,8.497143,4.586577
19.850000,8.497226,4.690011
19.900000,8.497223,4.774640
19.950000,8.497275,4.832208
20.000000,8.497581,4.858906
20.050000,8.498522,4.855138
20.100000,8.500772,4.824425
20.150000,8.505345,4.772017
20.200000,8.513536,4.703680
20.250000,8.526711,4.624939
20.300000,8.545925,4.540807
20.350000,8.571452,4.455910
20.400000,8.602405,4.374824
20.450000,8.636667,4.302447
20.500000,8.671282,4.244198
20.550000,8.703194,4.205880
20.600000,8.730033,4.193059
20.650000,8.750613,4.209971
20.700000,8.764971,4.258124
20.750000,8.774043,4.335063
20.800000,8.779185,4.433823
20.850000,8.781754,4.543544
20.900000,8.782850,4.651271
20.950000,8.783223,4.744452
21.000000,8.783305,4.813292
21.050000,8.783304,4.852212
21.100000,8.783336,4.860063
21.150000,8.783562,4.839312
21.200000,8.784320,4.794696
21.250000,8.786241,4.731897
21.300000,8.790317,4.656593
21.350000,8.797861,4.574001
21.400000,8.810321,4.488864
21.450000,8.828909,4.405732
21.500000,8.854106,4.329339
21.550000,8.885223,4.264896
21.600000,8.920251,4.218099
21.650000,8.956189,4.194716
21.700000,8.989789,4.199655
21.750000,9.018406,4.235660
21.800000,9.040595,4.301939
21.850000,9.056226,4.393284
21.900000,9.066183,4.500202
21.950000,9.071862,4.610282
22.000000,9.074711,4.710506
22.050000,9.075928,4.789765
22.100000,9.076345,4.840741
22.150000,9.076443,4.860603
22.200000,9.076448,4.850550
22.250000,9.076458,4.814603
22.300000,9.076582,4.758213
22.350000,9.077079,4.687142
22.400000,9.078486,4.606809
22.450000,9.081705,4.522121
22.500000,9.088011,4.437662
22.550000,9.098913,4.358048
22.600000,9.115826,4.288283
22.650000,9.139575,4.233898
22.700000,9.169882,4.200714
22.750000,9.205079,4.194116
22.800000,9.242284,4.217862
22.850000,9.278070,4.272685
22.900000,9.309382,4.355152
22.950000,9.334292,4.457350
23.000000,9.352277,4.567769
23.050000,9.364010,4.673320
23.100000,9.370865,4.761875
23.150000,9.374387,4.824481
23.200000,9.375930,4.856551
23.250000,9.376473,4.857825
23.300000,9.376610,4.831391
23.350000,9.376627,4.782295
23.400000,9.376626,4.716285
23.450000,9.376666,4.638957
23.500000,9.376903,4.555413
23.550000,9.377729,4.470326
23.600000,9.379885,4.388252
23.650000,9.384520,4.314011
23.700000,9.393125,4.252933
23.750000,9.407292,4.210784
23.800000,9.428270,4.193237
23.850000,9.456393,4.204849
23.900000,9.490631,4.247697
23.950000,9.528510,4.320070
24.000000,9.566591,4.415769
24.050000,9.601370,4.524502
24.100000,9.630212,4.633507
24.150000,9.651903,4.729980
24.200000,9.666645,4.803517
24.250000,9.675631,4.847766
24.300000,9.680466,4.860854
24.350000,9.682696,4.844716
24.400000,9.683529,4.803800
24.450000,9.683754,4.743707
24.500000,9.683789,4.670162
24.550000,9.683790,4.588471
24.600000,9.683793,4.503447
24.650000,9.683851,4.419645
24.700000,9.684183,4.341741
24.750000,9.685303,4.274855
24.800000,9.688128,4.224616
24.850000,9.693997,4.196830
24.900000,9.704554,4.196640
24.950000,9.721411,4.227261
25.000000,9.745619,4.288590
25.050000,9.777074,4.376203
25.100000,9.814138,4.481277
25.150000,9.853766,4.591756
25.200000,9.892205,4.694541
25.250000,9.926018,4.778037
25.300000,9.952972,4.834188
25.350000,9.972398,4.859399
25.400000,9.984986,4.854251
25.450000,9.992232,4.822380
25.500000,9.995848,4.769084
25.550000,9.997339,4.700131
25.600000,9.997794,4.621024
25.650000,9.997871,4.536753
25.700000,9.997871,4.451932
25.750000,9.997872,4.371145
25.800000,9.997868,4.299313
25.850000,9.997914,4.241879
25.900000,9.998269,4.204652
25.950000,9.999528,4.193166
26.000000,10.002725,4.211555
26.050000,10.009330,4.261167
26.100000,10.021094,4.339336
26.150000,10.039658,4.438888
26.200000,10.065961,4.548815
26.250000,10.099632,4.656122
26.300000,10.138658,4.748337
26.350000,10.179634,4.815846
26.400000,10.218603,4.853281
26.450000,10.252156,4.859693
26.500000,10.278278,4.837688
26.550000,10.296608,4.792076
26.600000,10.308112,4.728557
26.650000,10.314464,4.652793
26.700000,10.317443,4.569975
26.750000,10.318541,4.484830
26.800000,10.318794,4.401909
26.850000,10.318792,4.325962
26.900000,10.318777,4.262225
26.950000,10.318779,4.216414
27.000000,10.318760,4.194277
27.050000,10.318756,4.200654
27.100000,10.319024,4.238149
27.150000,10.320174,4.305773
27.200000,10.323276,4.398104
27.250000,10.329865,4.505468
27.300000,10.341776,4.615369
27.350000,10.360739,4.714823
27.400000,10.387759,4.792869
27.450000,10.422459,4.842394
27.500000,10.462737,4.860779
27.550000,10.505021,4.849388
27.600000,10.545161,4.812339
27.650000,10.579602,4.755122
27.700000,10.606271,4.683492
27.750000,10.624837,4.602845
27.800000,10.636349,4.518065
27.850000,10.642582,4.433730
27.900000,10.645399,4.354466
27.950000,10.646346,4.285304
28.000000,10.646491,4.231795
28.050000,10.646428,4.199761
28.100000,10.646394,4.194538
28.150000,10.646396,4.219774
28.200000,10.646366,4.276025
28.250000,10.646295,4.359644
28.300000,10.646379,4.462514
28.350000,10.647163,4.573000
28.400000,10.649656,4.678001
28.450000,10.655369,4.765493
28.500000,10.666186,4.826715
28.550000,10.683996,4.857295
28.600000,10.710075,4.857161
28.650000,10.744372,4.829525
28.700000,10.785049,4.779494
28.750000,10.828603,4.712822
28.800000,10.870710,4.635088
28.850000,10.907443,4.551368
28.900000,10.936320,4.466320
28.950000,10.956698,4.384505
29.000000,10.969488,4.310765
29.050000,10.976479,4.250454
29.100000,10.979648,4.209350
29.150000,10.980688,4.193100
29.200000,10.980795,4.206176
29.250000,10.980663,4.250500
29.300000,10.980583,4.324158
29.350000,10.980580,4.420737
29.400000,10.980560,4.529783
29.450000,10.980449,4.638472
29.500000,10.980333,4.734062
29.550000,10.980608,4.806315
29.600000,10.982111,4.849091
29.650000,10.986205,4.860721
29.700000,10.994730,4.843290
29.750000,11.009733,4.801331
29.800000,11.032914,4.740472
29.850000,11.064883,4.666423
29.900000,11.104505,4.584468
29.950000,11.148750,4.499399
30.000000,11.193285,4.415769
30.050000,11.233680,4.338270
30.100000,11.266660,4.272044
30.150000,11.290822,4.222742
30.200000,11.306583,4.196161
30.250000,11.315573,4.197384
30.300000,11.319867,4.229498
30.350000,11.321388,4.292214
30.400000,11.321590,4.380888
30.450000,11.321382,4.486511
30.500000,11.321203,4.596918
30.550000,11.321158,4.699027
30.600000,11.321161,4.781371
30.650000,11.321078,4.836097
30.700000,11.320862,4.859822
30.750000,11.320698,4.853303
30.800000,11.321146,4.820286
30.850000,11.323272,4.766115
30.900000,11.328699,4.696559
30.950000,11.339480,4.617097
31.000000,11.357712,4.532697
31.050000,11.384860,4.447963
31.100000,11.420954,4.367487
31.150000,11.464048,4.296211
31.200000,11.510335,4.239605
31.250000,11.555073,4.203483
31.300000,11.593957,4.193340
31.350000,11.624289,4.213211
31.400000,11.645414,4.264276
31.450000,11.658386,4.343659
31.500000,11.665197,4.443978
31.550000,11.668020,4.554080
31.600000,11.668688,4.660937
31.650000,11.668486,4.752166
31.700000,11.668147,4.818330
31.750000,11.667964,4.854280
31.800000,11.667940,4.859259
31.850000,11.667930,4.836011
31.900000,11.667778,4.789416
31.950000,11.667448,4.725190
32.000000,11.667171,4.648977
32.050000,11.667591,4.565944
32.100000,11.669892,4.480802
32.150000,11.675839,4.398101
32.200000,11.687617,4.322612
32.250000,11.707388,4.259595
32.300000,11.736539,4.214782
32.350000,11.774854,4.193903
32.400000,11.819999,4.201724
32.450000,11.867772,4.240707
32.500000,11.913182,4.309665
32.550000,11.951919,4.402958
32.600000,11.981496,4.510740
32.650000,12.001570,4.620431
32.700000,12.013478,4.719091
32.750000,12.019396,4.795907
32.800000,12.021565,4.843976
32.850000,12.021814,4.860888
32.900000,12.021377,4.848168
32.950000,12.020930,4.810030
33.000000,12.020713,4.751999
33.050000,12.020688,4.679822
33.100000,12.020675,4.598871
33.150000,12.020486,4.514011
33.200000,12.020056,4.429809
33.250000,12.019580,4.350908
33.300000,12.019667,4.282360
33.350000,12.021478,4.229740
33.400000,12.026782,4.198868
33.450000,12.037832,4.195030
33.500000,12.056932,4.221758
33.550000,12.085688,4.279428
33.600000,12.124111,4.364179
33.650000,12.170019,4.467696
33.700000,12.219184,4.578219
33.750000,12.266396,4.682641
33.800000,12.307015,4.769050
33.850000,12.338238,4.828878
33.900000,12.359527,4.857969
33.950000,12.372170,4.856435
34.000000,12.378414,4.827609
34.050000,12.380623,4.776656
34.100000,12.380752,4.709335
34.150000,12.380138,4.631205
34.200000,12.379528,4.547319
34.250000,12.379203,4.462320
34.300000,12.379137,4.380777
34.350000,12.379139,4.307550
34.400000,12.378984,4.248019
34.450000,12.378529,4.207973
34.500000,12.377853,4.193031
